signature_id,time_window,gene,gene_group,analysis_set,cohort_n,patient_n,pooled_contribution,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,fdr_within_signature_window
SIG034,T1,HMMR,MODULE_2,PRIMARY_INDEPENDENT,4,172,-0.008840434093003254,0.001361489550038506,-0.01317330148120643,-0.004507566704800077,0.0,0.0,-0.014698450821929204,-0.002982417364077304,1.0,0.007416515158898839,GSE236713;GSE57065;GSE95233;GSE54514,0.11650727757340916
SIG034,T1,HMMR,MODULE_2,STRICT_NEVER_USED,4,172,-0.008840434093003254,0.001361489550038506,-0.01317330148120643,-0.004507566704800077,0.0,0.0,-0.014698450821929204,-0.002982417364077304,1.0,0.007416515158898839,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,PRC1,MODULE_2,ALL_COHORTS,4,172,-0.006041539229482012,0.0031712806716536575,-0.01613396968600559,0.004050891227041565,0.0,6.835648720440337,-0.019686458668005235,0.007603380209041211,1.0,0.15286475838714672,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,PRC1,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.00605557416300441,0.00196311572065352,-0.030999324430936472,0.018888176104927653,0.0,0.0,,,1.0,0.199575842652076,GSE236713;GSE95233,
SIG034,T1,PRC1,MODULE_2,PRIMARY_INDEPENDENT,4,172,-0.006041539229482012,0.0031712806716536575,-0.01613396968600559,0.004050891227041565,0.0,6.835648720440337,-0.019686458668005235,0.007603380209041211,1.0,0.15286475838714672,GSE236713;GSE57065;GSE95233;GSE54514,0.4975319646933085
SIG034,T1,PRC1,MODULE_2,STRICT_NEVER_USED,4,172,-0.006041539229482012,0.0031712806716536575,-0.01613396968600559,0.004050891227041565,0.0,6.835648720440337,-0.019686458668005235,0.007603380209041211,1.0,0.15286475838714672,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,KIF15,MODULE_2,ALL_COHORTS,4,172,0.0011918575134053243,0.0029187801742685867,-0.008097003668132697,0.010480718694943346,1.1066838409340606e-05,0.0,-0.017850050273685844,0.02023376530049649,0.5,0.7104205836550657,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,KIF15,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,0.007167603746336404,0.005809340173959216,-0.06664706188756943,0.08098226938024224,0.0,0.0,,,0.5,0.4336083764794083,GSE236713;GSE95233,
SIG034,T1,KIF15,MODULE_2,PRIMARY_INDEPENDENT,4,172,0.0011918575134053243,0.0029187801742685867,-0.008097003668132697,0.010480718694943346,1.1066838409340606e-05,0.0,-0.017850050273685844,0.02023376530049649,0.5,0.7104205836550657,GSE236713;GSE57065;GSE95233;GSE54514,0.8707864290753664
SIG034,T1,KIF15,MODULE_2,STRICT_NEVER_USED,4,172,0.0011918575134053243,0.0029187801742685867,-0.008097003668132697,0.010480718694943346,1.1066838409340606e-05,0.0,-0.017850050273685844,0.02023376530049649,0.5,0.7104205836550657,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,CAMP,MODULE_2,ALL_COHORTS,4,172,-7.678752769915623e-05,0.016525109255576338,-0.05266706042252685,0.052513485367128535,0.0007872877050061917,76.97122974016459,-0.14018525570289558,0.14003168064749727,0.5,0.9965841896279106,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,CAMP,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,0.003830102857473267,0.0035048258386323893,-0.04070293181372719,0.04836313752867372,0.0,0.0,,,0.5,0.47178674747101706,GSE236713;GSE95233,
SIG034,T1,CAMP,MODULE_2,PRIMARY_INDEPENDENT,4,172,-7.678752769915623e-05,0.016525109255576338,-0.05266706042252685,0.052513485367128535,0.0007872877050061917,76.97122974016459,-0.14018525570289558,0.14003168064749727,0.5,0.9965841896279106,GSE236713;GSE57065;GSE95233;GSE54514,0.9965841896279107
SIG034,T1,CAMP,MODULE_2,STRICT_NEVER_USED,4,172,-7.678752769915623e-05,0.016525109255576338,-0.05266706042252685,0.052513485367128535,0.0007872877050061917,76.97122974016459,-0.14018525570289558,0.14003168064749727,0.5,0.9965841896279106,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,CEACAM8,MODULE_2,ALL_COHORTS,4,172,-0.025344668177111937,0.01811458202617325,-0.08299335281807571,0.032304016463851844,0.0010472675290486503,82.57983140643658,-0.18491483208228343,0.13422549572805959,0.75,0.25624121349197676,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,CEACAM8,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.015387141755050076,0.026773705090699075,-0.3555793201903268,0.32480503668022664,0.0012517116063639555,86.22023724550935,,,0.5,0.667928284180554,GSE236713;GSE95233,
SIG034,T1,CEACAM8,MODULE_2,PRIMARY_INDEPENDENT,4,172,-0.025344668177111937,0.01811458202617325,-0.08299335281807571,0.032304016463851844,0.0010472675290486503,82.57983140643658,-0.18491483208228343,0.13422549572805959,0.75,0.25624121349197676,GSE236713;GSE57065;GSE95233;GSE54514,0.5830839938692183
SIG034,T1,CEACAM8,MODULE_2,STRICT_NEVER_USED,4,172,-0.025344668177111937,0.01811458202617325,-0.08299335281807571,0.032304016463851844,0.0010472675290486503,82.57983140643658,-0.18491483208228343,0.13422549572805959,0.75,0.25624121349197676,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,DEFA4,MODULE_2,ALL_COHORTS,4,172,0.013141895543953534,0.002335165063381587,0.00571035811576591,0.02057343297214116,0.0,0.0,0.0030944912097036845,0.02318929987820338,1.0,0.011095931197467539,GSE236713;GSE57065;GSE95233;GSE54514,
SIG034,T1,DEFA4,MODULE_2,PRESPECIFIED_NON_PILOT_ONLY,2,113,0.011682258495307397,5.6616341918788524e-05,0.010962879663459426,0.012401637327155367,0.0,0.0,,,1.0,0.0030852596302503596,GSE236713;GSE95233,
