signature_id,time_window,gene,omitted_dataset,cohort_n,pooled_contribution,ci95_lower,ci95_upper,tau2,I2_percent
SIG002,T2,PLA2G7,GSE57065,3,0.10488254066150933,-0.22357592674369686,0.4333410080667155,0.009940203590482873,54.21285528812212
SIG002,T2,PLA2G7,GSE95233,3,0.19133016675755007,-0.22314757191200588,0.605807905427106,0.021151949441148652,73.95913619853889
SIG002,T2,PLA2G7,GSE110487,3,0.11584132645519536,-0.30890241577084115,0.5405850686812319,0.016117730067672087,57.98777288855248
SIG002,T2,PLA2G7,GSE8121,3,0.22342401470969397,-0.17056186915863986,0.6174098985780279,0.007447863483238798,36.2903991737567
SIG002,T2,CEACAM4,GSE57065,3,-0.10159300061342393,-0.3342900979434506,0.13110409671660272,0.002813019046746278,27.41871856532263
SIG002,T2,CEACAM4,GSE95233,3,-0.16415891250042777,-0.4297640022622916,0.1014461772614361,0.006416357081832262,54.05461455181639
SIG002,T2,CEACAM4,GSE110487,3,-0.18305817545848943,-0.4477190327312658,0.0816026818142869,0.001982061333210761,30.709021147658127
SIG002,T2,CEACAM4,GSE8121,3,-0.11661942923962891,-0.4222049951409171,0.18896613666165923,0.008555216645253912,55.75029176240248
SIG003,T2,FAIM3,GSE57065,3,-0.40404475950696417,-0.7625864912073662,-0.045503027806562124,0.003737707991337964,0.0
SIG003,T2,FAIM3,GSE95233,3,-0.30602260489605043,-0.43640933635519397,-0.17563587343690693,0.0,0.0
SIG003,T2,FAIM3,GSE110487,3,-0.3984567977401843,-0.855179055495162,0.05826546001479349,0.01090754527739618,20.00102586611006
SIG003,T2,FAIM3,GSE8121,3,-0.3592611269876528,-0.7487988136206509,0.03027655964534537,0.0020537480640462928,27.23623068711331
SIG003,T2,PLAC8,GSE57065,3,-0.526936092220174,-0.8211935547109815,-0.23267862972936648,0.0,0.0
SIG003,T2,PLAC8,GSE95233,3,-0.515523568118307,-0.7935164089116385,-0.2375307273249755,0.0,0.0
SIG003,T2,PLAC8,GSE110487,3,-0.6147514357673373,-0.8372186231592512,-0.3922842483754233,0.0,0.0
SIG003,T2,PLAC8,GSE8121,3,-0.524103237904404,-0.7165137086198077,-0.3316927671890004,0.0,0.0
SIG004,T2,NLRP1,GSE57065,3,0.4295355777866441,0.19443452547886403,0.6646366300944242,0.0,0.0
SIG004,T2,NLRP1,GSE95233,3,0.4273603313530452,0.2074463827808994,0.6472742799251909,0.0,0.0
SIG004,T2,NLRP1,GSE110487,3,0.43470598520834036,0.16898603791534983,0.7004259325013309,0.0,0.0
SIG004,T2,NLRP1,GSE8121,3,0.47052198600842177,0.4194100768736948,0.5216338951431487,0.0,0.0
SIG004,T2,IDNK,GSE57065,3,0.4102145038129666,0.32971297128577953,0.49071603634015365,0.0,0.0
SIG004,T2,IDNK,GSE95233,3,0.35177693320417114,-0.054937929623589565,0.7584917960319318,0.0049813614132475145,9.969062998924253
SIG004,T2,IDNK,GSE110487,3,0.2874196404087516,-0.20095400023185916,0.7757932810493624,0.0,0.0
SIG004,T2,IDNK,GSE8121,3,0.3526859292081242,0.008581862889261382,0.696789995526987,0.0006771368954151316,0.6620422060899843
SIG004,T2,PLAC8,GSE57065,3,-0.11248969011250863,-0.5584994092455369,0.33352002902051964,0.029298333947835663,93.66993535937145
SIG004,T2,PLAC8,GSE95233,3,-0.06398184506906143,-0.43916975349948506,0.31120606336136225,0.01760867211046784,91.11284415979422
SIG004,T2,PLAC8,GSE110487,3,-0.162488122757559,-0.34600335427846907,0.021027108763351066,0.0035323159914508176,51.165051016388354
SIG004,T2,PLAC8,GSE8121,3,-0.07759335647264638,-0.4330898616976757,0.277903148752383,0.019204208166861088,94.67333028279369
SIG022,T2,IFI27,GSE57065,4,-0.10231257429349021,-0.29537327806683344,0.09074812947985304,0.007041621072132507,48.792550681880286
SIG022,T2,IFI27,GSE95233,4,-0.08841459609341665,-0.23828630933266326,0.061457117145829965,0.0033436701783022176,28.193026431540364
SIG022,T2,IFI27,GSE54514,4,-0.14093313026439244,-0.33842196738474395,0.056555706855959065,0.009369762171467575,60.39375965399958
SIG022,T2,IFI27,GSE110487,4,-0.17045333989583022,-0.3285483556230929,-0.012358324168567497,0.0,6.556038515291269
SIG022,T2,IFI27,GSE8121,4,-0.13385762597254178,-0.3565916620281816,0.08887641008309805,0.012242838129747451,61.547430487677815
