dataset,signature_id,time_window,paired_n,mean_total_delta_z,median_absolute_contribution_sum,median_dominance_ratio,median_cancellation_index,dominant_gene,dominant_gene_patient_n,dominant_gene_patient_fraction
GSE54514,SIG034,T1,31,-0.22070056294371246,2.2009203899956185,0.098076674786905,0.5401777042740759,SLPI,6,0.1935483870967742
GSE54514,SIG034,T2,28,0.04696476081425514,2.3273103340746184,0.09982918715786426,0.5669441862467812,SLPI,6,0.21428571428571427
GSE54514,SIG034,T3,18,0.02919806053046205,2.334710801642727,0.10146251687171488,0.5476022717200808,DEFA4,6,0.3333333333333333
GSE54514,SIG034,T4,14,0.44780314199170873,2.418760889524205,0.08538528137278079,0.49069780062071827,DEFA4,5,0.35714285714285715
GSE57065,SIG001,T1,28,-0.43847513066394234,1.2096879638397837,0.2740594446008692,0.42323382091005834,CEACAM1,13,0.4642857142857143
GSE57065,SIG001,T2,26,-0.7282455402928126,1.5525541469462145,0.2908352105814696,0.3544753800892655,CEACAM1,17,0.6538461538461539
GSE57065,SIG002,T1,28,-0.15125094554667345,1.8140570119182549,0.47498435913915804,0.6279465756765665,PLAC8,12,0.42857142857142855
GSE57065,SIG002,T2,26,-0.7852396008980198,2.0354757545410105,0.5212995658435897,0.5021119819198594,PLAC8,15,0.5769230769230769
GSE57065,SIG003,T1,28,-0.2211678450795934,1.0617438701315365,0.6804794277945692,0.0,FAIM3,14,0.5
GSE57065,SIG003,T2,26,-0.8274343714045836,1.2409803350521111,0.6728901665338322,0.0,PLAC8,13,0.5
GSE57065,SIG004,T1,28,-0.03523478804246507,1.1569532815430437,0.6615372071180085,0.29172342427174863,IDNK,18,0.6428571428571429
GSE57065,SIG004,T2,26,0.47190946057129807,1.3449904123921388,0.6634205942446496,0.3295372644306413,IDNK,14,0.5384615384615384
GSE57065,SIG022,T1,28,-0.09811759660445073,1.0786899068102587,0.36943806523330347,0.566735463360839,IFI27,13,0.4642857142857143
GSE57065,SIG022,T2,26,0.06349277850390457,1.3604487605513764,0.3893891341844484,0.5894355222219063,IFI27,13,0.5
GSE57065,SIG023,T1,28,0.31303191984355927,0.34144115725830415,0.7522195517730567,0.025117088738757343,IFI44L,17,0.6071428571428571
GSE57065,SIG023,T2,26,0.17945353513832119,0.6559988929220928,0.7855124242401013,0.17072104803882465,IFI44L,17,0.6538461538461539
GSE57065,SIG033,T1,28,-0.07169924149676812,1.0868453402467004,0.3072811002663684,0.5631926973497678,CXCR6,9,0.32142857142857145
GSE57065,SIG033,T2,26,-0.15778292287115303,1.3509185263582273,0.2992729252371472,0.609714276473799,LTB,7,0.2692307692307692
GSE57065,SIG034,T1,28,0.1295173739739968,2.2647355566478304,0.09035889660075433,0.7509123172353076,CEP55,6,0.21428571428571427
GSE57065,SIG034,T2,26,0.13489867160240324,2.835210691926121,0.0925106820669637,0.6476030074213145,ORM1,5,0.19230769230769232
GSE8121,SIG001,T2,30,-0.28521492145484423,0.6952845463037416,0.33983047019394264,0.31365624022332006,CEACAM1,13,0.43333333333333335
GSE8121,SIG002,T2,30,-0.5781308155291766,1.1059254454835785,0.48000803390432956,0.45207293811421345,PLAC8,16,0.5333333333333333
GSE8121,SIG003,T2,30,-1.2358170531118964,1.0084316572544938,0.7431407461714634,0.0,PLAC8,15,0.5
GSE8121,SIG004,T2,30,0.5171729426030626,1.2409641575091035,0.6103577495869289,0.5315671371917574,IDNK,19,0.6333333333333333
GSE8121,SIG022,T2,30,-0.1072981125625187,0.7808015790337501,0.4507739390803308,0.5073586619817227,IFI27,17,0.5666666666666667
GSE8121,SIG023,T2,30,0.04929447573016078,0.24421770908746882,0.9458574441130752,0.0,FAM89A,21,0.7
GSE8121,SIG033,T2,30,-0.07439888632372411,0.24498876729174934,0.4295911722708129,0.33922186289869594,CTSG,16,0.5333333333333333
GSE8121,SIG034,T2,30,0.060985738092451044,1.1796301580911686,0.10229602222070766,0.8074621990077849,DEFA4,6,0.2
GSE95233,SIG001,T1,20,-0.3454618991432922,1.2640946738545162,0.2640078900807866,0.47027405850404574,CEACAM1,6,0.3
GSE95233,SIG001,T2,31,-1.0684238784685032,1.7797105652946283,0.28486987619467813,0.29453981420706266,CEACAM1,10,0.3225806451612903
GSE95233,SIG002,T1,20,-0.1731381740958465,1.7089215633413042,0.4419165707382251,0.5829534532522103,PLA2G7,7,0.35
GSE95233,SIG002,T2,31,-0.8779105485412632,2.3173863543565263,0.5266560712587562,0.4774701694344464,PLAC8,20,0.6451612903225806
GSE95233,SIG003,T1,20,-0.22552063306065934,0.7853344975787087,0.8376735699559095,0.1339102190996892,FAIM3,13,0.65
GSE95233,SIG003,T2,31,-1.2010246142984093,1.3812822065131103,0.6628218555769705,0.0,FAIM3,16,0.5161290322580645
GSE95233,SIG004,T1,20,-0.24743921599169078,1.4264846224343306,0.6462590145699866,0.37020800063358356,IDNK,15,0.75
GSE95233,SIG004,T2,31,0.6577234055200888,1.9683029652387243,0.567921438677675,0.36128170121230696,IDNK,20,0.6451612903225806
GSE95233,SIG022,T1,20,-0.2844166683801478,1.0944646785035352,0.32155364123932273,0.6856430775098656,IFI27,11,0.55
GSE95233,SIG022,T2,31,0.12271057166694656,1.381721284939549,0.3422541547630001,0.5967811828130689,IFI27,13,0.41935483870967744
GSE95233,SIG023,T1,20,0.3302774250683944,0.71100206400125,0.8093113189141978,0.1410207283371217,IFI44L,13,0.65
GSE95233,SIG023,T2,31,-0.10679284380492043,0.7306306100977318,0.7200097709080443,0.0,IFI44L,19,0.6129032258064516
GSE95233,SIG033,T1,20,-0.26709937620864777,1.3466000954698059,0.29887810888767774,0.5661618970798049,CXCR6,5,0.25
GSE95233,SIG033,T2,31,-0.25598831106438563,1.6980880854705158,0.33883730266985823,0.6740412812207923,CTSG,7,0.22580645161290322
GSE95233,SIG034,T1,20,0.009668044195253434,2.00087970463365,0.09554804882736692,0.7568589468145778,SIDT1,4,0.2
GSE95233,SIG034,T2,31,-0.2321399427095023,2.0709336541776793,0.08976441040488116,0.8223994926269547,SIDT1,7,0.22580645161290322
