dataset,signature_id,time_window,time_label,pathway,tier,pathway_method,paired_n,spearman_rho,p_value,fisher_z,fisher_z_se,overlap_status,primary_independent_rule,fdr_within_dataset_signature_window_tier
GSE110487,SIG002,T2,T48,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,SINGSCORE,31,-0.19959677419354843,0.28169570343948896,-0.20231256242921974,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,SINGSCORE,31,0.03225806451612904,0.8632259438532187,0.03226926056878559,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.8952336525491221
GSE110487,SIG002,T2,T48,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,SINGSCORE,31,-0.14112903225806453,0.448879259209334,-0.14207736596690626,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,SINGSCORE,31,-0.18508064516129033,0.31886914501293834,-0.18723847450764816,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,31,0.04435483870967742,0.8127148311998212,0.04438396028220328,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.8127148311998212
GSE110487,SIG002,T2,T48,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,31,0.1548387096774194,0.40557202807360526,0.15609424131980176,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,SINGSCORE,31,0.10040322580645164,0.5909843569018906,0.10074266313790302,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.7342532919084095
GSE110487,SIG002,T2,T48,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,31,-0.04556451612903226,0.8077006326714742,-0.045596088012340226,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.8127148311998212
GSE110487,SIG002,T2,T48,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,31,-0.11814516129032258,0.5267365934227508,-0.11869951246950511,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.708627162827958
GSE110487,SIG002,T2,T48,HALLMARK_DNA_REPAIR,HALLMARK_SECONDARY,SINGSCORE,31,-0.22540322580645164,0.22277440722193506,-0.22934131507411823,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_E2F_TARGETS,HALLMARK_SECONDARY,SINGSCORE,31,-0.1774193548387097,0.3396589610772237,-0.1793169042120327,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_SECONDARY,SINGSCORE,31,-0.04516129032258065,0.8093712112440687,-0.04519203073413451,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.8786816369248452
GSE110487,SIG002,T2,T48,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_SECONDARY,SINGSCORE,31,-0.14233870967741935,0.44496104932632896,-0.1433118423151397,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_SECONDARY,SINGSCORE,31,0.029838709677419358,0.8733986854137776,0.02984757002893021,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.8952336525491221
GSE110487,SIG002,T2,T48,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,31,-0.2584677419354839,0.16033742308928525,-0.2644657588332292,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_G2M_CHECKPOINT,HALLMARK_SECONDARY,SINGSCORE,31,0.04395161290322581,0.8143878586132712,0.04397994684306608,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.8786816369248452
GSE110487,SIG002,T2,T48,HALLMARK_GLYCOLYSIS,HALLMARK_SECONDARY,SINGSCORE,31,-0.01088709677419355,0.9536471583154607,-0.010887526949902046,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9536471583154607
GSE110487,SIG002,T2,T48,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,-0.1455645161290323,0.4346033734489133,-0.14660591179294447,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,31,0.14717741935483872,0.429474435879987,0.1482541275400265,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,SINGSCORE,31,-0.18870967741935485,0.30930312482867456,-0.1909988610447987,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,-0.1028225806451613,0.5820257117422453,-0.10318726012787051,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.7342532919084095
GSE110487,SIG002,T2,T48,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,-0.05241935483870968,0.7794334705896993,-0.05246744658926722,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.8786816369248452
GSE110487,SIG002,T2,T48,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,31,-0.1431451612903226,0.4423592092878864,-0.14413506740166765,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.708627162827958
GSE110487,SIG002,T2,T48,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,31,-0.1774193548387097,0.3396589610772237,-0.1793169042120327,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.708627162827958
GSE110487,SIG002,T2,T48,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,31,-0.18911290322580646,0.3082514424532381,-0.1914170095213121,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.708627162827958
GSE110487,SIG002,T2,T48,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,SINGSCORE,31,-0.13830645161290325,0.45809344501627935,-0.13919858646717087,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,SINGSCORE,31,-0.33145161290322583,0.06853305024705551,-0.34445814439241657,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,SINGSCORE,31,-0.2556451612903226,0.16511533905229692,-0.2614434686655731,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,-0.12379032258064517,0.5070289666143404,-0.12442852361275929,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.7168340562478606
GSE110487,SIG002,T2,T48,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,SINGSCORE,31,-0.20846774193548392,0.2604106965644874,-0.21156893652010111,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_MYC_TARGETS_V2,HALLMARK_SECONDARY,SINGSCORE,31,-0.2016129032258065,0.2767628754985212,-0.20441322790543465,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_MYOGENESIS,HALLMARK_SECONDARY,SINGSCORE,31,-0.15927419354838712,0.39208552690474663,-0.16064190949927454,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_NOTCH_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,0.17056451612903226,0.3589410837099465,0.17224803718583637,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,31,0.11129032258064517,0.5511544599773006,0.11175323093037205,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.708627162827958
GSE110487,SIG002,T2,T48,HALLMARK_P53_PATHWAY,HALLMARK_SECONDARY,SINGSCORE,31,-0.3794354838709678,0.03527010295246455,-0.3994000255693628,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_SECONDARY,SINGSCORE,31,0.22983870967741934,0.2135610049271244,0.23401917428039087,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
GSE110487,SIG002,T2,T48,HALLMARK_PEROXISOME,HALLMARK_SECONDARY,SINGSCORE,31,-0.21411290322580648,0.2474296977251898,-0.21747791448708653,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.695623379469165
