dataset,time_window,time_label,pathway,tier,paired_n,mean_delta_z,median_delta_z,se_delta_z,bootstrap_ci_low,bootstrap_ci_high,proportion_increasing,mean_ssgsea_delta_z,se_ssgsea_delta_z,p_value,fdr_within_dataset_window_tier
GSE95233,T2,T48,HALLMARK_GLYCOLYSIS,HALLMARK_SECONDARY,31,-0.36576520229091375,-0.35845547070620837,0.15514910734146864,-0.6800219064193865,-0.07257475273410878,0.3548387096774194,-0.30677305570144786,0.16297694093781556,0.01839807786893374,0.06857465387511666
GSE95233,T2,T48,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,31,-0.08434226134643978,0.08094324409342142,0.2898965255253219,-0.6524736232356808,0.4652433508478542,0.5161290322580645,-0.1827161157629479,0.2750741431706854,0.771097825120334,0.8319739692087814
GSE95233,T2,T48,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,31,-0.5937231531885186,-0.38494133569092664,0.1937645916130865,-0.9971097255135524,-0.21945456488563353,0.3225806451612903,-0.5831371648590603,0.20187798382087024,0.0021829176632687844,0.012785660599145737
GSE95233,T2,T48,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,31,-0.11644587065841101,0.1468218318209927,0.2611879839354818,-0.6191755453476057,0.41358368364341014,0.5806451612903226,-0.1834132508163824,0.23933710577413367,0.6557188553755284,0.7266073802809909
GSE95233,T2,T48,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,31,-0.16694636976698313,-0.17964304285466165,0.1941785515493176,-0.535680876558367,0.21833216506457567,0.41935483870967744,-0.1266786611019332,0.18799137614687125,0.3899230046321891,0.4995888496849923
GSE95233,T2,T48,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,31,-0.3267535503490728,-0.2742008610958035,0.18106656173104807,-0.6884498075839803,0.009606586442971597,0.3548387096774194,-0.36031495749062176,0.18043313183408602,0.07113657762122216,0.14582998412350542
GSE95233,T2,T48,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,31,-0.28269176067984403,-0.252923366125759,0.1981715338416157,-0.6696779937690498,0.08227823424505755,0.4838709677419355,-0.2892077860326705,0.19896642710467496,0.15372396843427702,0.27670314318169864
GSE95233,T2,T48,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,31,-0.04685089983853683,0.16896674805948572,0.11659261691828816,-0.29683037928609596,0.1543444261986255,0.6129032258064516,-0.055313718845623666,0.1144947711869706,0.6878060578058476,0.6878060578058476
GSE95233,T2,T48,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,31,0.06324139104546826,0.10215202036874883,0.1185537775310655,-0.15975466550766307,0.28904395265925614,0.6129032258064516,0.02858985686600985,0.11913032234001304,0.5937286611090329,0.667944743747662
GSE95233,T2,T48,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,31,-0.3813965565806175,-0.12114700924895633,0.28147086278470923,-0.9210588310781599,0.16603477941929837,0.45161290322580644,-0.3876867969851759,0.27637868381593095,0.17541355285899207,0.287678226688747
