time_window,pathway,tier,omitted_dataset,remaining_cohorts,pooled_delta_z,ci_low,ci_high
T1,HALLMARK_MYOGENESIS,HALLMARK_SECONDARY,GSE95233,3,-0.03877331823048652,-0.5903756891908944,0.5128290527299215
T1,HALLMARK_NOTCH_SIGNALING,HALLMARK_SECONDARY,GSE236713,3,0.19642292678406761,-0.7758555304142692,1.1687013839824045
T1,HALLMARK_NOTCH_SIGNALING,HALLMARK_SECONDARY,GSE54514,3,0.30414708166894483,0.08313303808347475,0.5251611252544149
T1,HALLMARK_NOTCH_SIGNALING,HALLMARK_SECONDARY,GSE57065,3,0.17796945243114884,-0.7473383611108262,1.1032772659731238
T1,HALLMARK_NOTCH_SIGNALING,HALLMARK_SECONDARY,GSE95233,3,0.15914307712177647,-0.5865600300624716,0.9048461843060245
T1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,GSE236713,3,0.18456280686353208,-0.0505396118207265,0.4196652255477906
T1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,GSE54514,3,0.218091701404332,0.07794628601369111,0.35823711679497294
T1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,GSE57065,3,0.2336178267858517,0.05885974861841589,0.40837590495328746
T1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,GSE95233,3,0.24563218068759698,0.1133027724646137,0.3779615889105803
T1,HALLMARK_P53_PATHWAY,HALLMARK_SECONDARY,GSE236713,3,0.48153434694291564,-0.1895089032857883,1.1525775971716197
T1,HALLMARK_P53_PATHWAY,HALLMARK_SECONDARY,GSE54514,3,0.4350383823778072,-0.19076630965173974,1.060843074407354
T1,HALLMARK_P53_PATHWAY,HALLMARK_SECONDARY,GSE57065,3,0.27252084194207754,0.16661526889906944,0.37842641498508567
T1,HALLMARK_P53_PATHWAY,HALLMARK_SECONDARY,GSE95233,3,0.40011868986141874,-0.2711150027207918,1.0713523824436293
T1,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_SECONDARY,GSE236713,2,-0.18300270295938417,-0.24908870023730778,-0.11691670568146055
T1,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_SECONDARY,GSE57065,2,-0.19585201085745754,-0.29843214528014744,-0.09327187643476766
T1,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_SECONDARY,GSE95233,2,-0.19708357754970163,-0.25574636751199664,-0.13842078758740664
T1,HALLMARK_PEROXISOME,HALLMARK_SECONDARY,GSE236713,3,0.1863182253221476,-0.33967045058848433,0.7123069012327795
T1,HALLMARK_PEROXISOME,HALLMARK_SECONDARY,GSE54514,3,0.2608561081892932,-0.06260880358267173,0.5843210199612582
T1,HALLMARK_PEROXISOME,HALLMARK_SECONDARY,GSE57065,3,0.19666635404234012,-0.12759720922678813,0.5209299173114683
T1,HALLMARK_PEROXISOME,HALLMARK_SECONDARY,GSE95233,3,0.2788912875779424,-0.015862087753825915,0.5736446629097107
T1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_SECONDARY,GSE236713,3,-0.17535843542182059,-1.0672860219945837,0.7165691511509426
T1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_SECONDARY,GSE54514,3,-0.05771576223966429,-1.0936059004254655,0.978174375946137
T1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_SECONDARY,GSE57065,3,0.19575911364288234,-0.019359671647991183,0.41087789893375587
T1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_SECONDARY,GSE95233,3,-0.07428086854219844,-1.1130773108664904,0.9645155737820935
T1,HALLMARK_PROTEIN_SECRETION,HALLMARK_SECONDARY,GSE236713,3,-0.07236453655808356,-0.6445976052934324,0.4998685321772652
T1,HALLMARK_PROTEIN_SECRETION,HALLMARK_SECONDARY,GSE54514,3,0.11687347713069501,-0.21999982029177328,0.4537467745531633
T1,HALLMARK_PROTEIN_SECRETION,HALLMARK_SECONDARY,GSE57065,3,-0.03818368543669083,-0.8380046214196443,0.7616372505462626
T1,HALLMARK_PROTEIN_SECRETION,HALLMARK_SECONDARY,GSE95233,3,0.008532168437338127,-0.8221777790544859,0.8392421159291622
T1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SECONDARY,GSE236713,3,-0.12737397817188104,-0.5515436693043216,0.2967957129605596
T1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SECONDARY,GSE54514,3,-0.02855403903030286,-0.6815540890913123,0.6244460110307066
T1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SECONDARY,GSE57065,3,0.08540164494783725,-0.46187867987522696,0.6326819697709014
T1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SECONDARY,GSE95233,3,0.06254915296019295,-0.5351862277317591,0.6602845336521449
T1,HALLMARK_SPERMATOGENESIS,HALLMARK_SECONDARY,GSE236713,2,-0.23701417780750159,-1.6649191427995809,1.1908907871845775
T1,HALLMARK_SPERMATOGENESIS,HALLMARK_SECONDARY,GSE57065,2,0.040936763967045986,-0.5440154036542719,0.6258889315883638
T1,HALLMARK_SPERMATOGENESIS,HALLMARK_SECONDARY,GSE95233,2,-0.10286464167337069,-2.486442457150245,2.2807131738035036
T1,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_SECONDARY,GSE236713,3,-0.03081724535089856,-0.5788786895477406,0.5172441988459434
T1,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_SECONDARY,GSE54514,3,0.1308653866001569,-0.26815367680916136,0.5298844500094751
T1,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_SECONDARY,GSE57065,3,0.16164984300153254,-0.23208864755212025,0.5553883335551854
T1,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_SECONDARY,GSE95233,3,0.017915170137890325,-0.5497229871516031,0.5855533274273838
T1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,GSE236713,3,-0.36341860781270163,-1.6648000636077347,0.9379628479823315
T1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,GSE54514,3,-0.36253934891634065,-1.5448373376736648,0.8197586398409835
T1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,GSE57065,3,-0.05164336526827339,-1.1971261347328281,1.0938394041962816
T1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,GSE95233,3,-0.1009962137185414,-1.369880915457353,1.1678884880202702
T1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_SECONDARY,GSE236713,3,-0.2468017452732108,-1.4225323425412322,0.9289288519948107
T1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_SECONDARY,GSE54514,3,-0.20836213453932664,-1.183541018724188,0.7668167496455347
T1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_SECONDARY,GSE57065,3,0.03736443858495206,-0.9679799701435883,1.0427088473134924
T1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_SECONDARY,GSE95233,3,0.004340480632156981,-1.1686508301588872,1.177331791423201
T1,HALLMARK_UV_RESPONSE_DN,HALLMARK_SECONDARY,GSE236713,3,-0.17929679313236785,-1.459380208985081,1.100786622720345
T1,HALLMARK_UV_RESPONSE_DN,HALLMARK_SECONDARY,GSE54514,3,0.12079471325068543,-0.3673499516993939,0.6089393782007647
T1,HALLMARK_UV_RESPONSE_DN,HALLMARK_SECONDARY,GSE57065,3,-0.21508434185477004,-1.276503180808321,0.8463344970987807
T1,HALLMARK_UV_RESPONSE_DN,HALLMARK_SECONDARY,GSE95233,3,-0.05815851040644951,-1.389843180516735,1.273526159703836
T1,HALLMARK_UV_RESPONSE_UP,HALLMARK_SECONDARY,GSE236713,3,-0.23626505898968525,-0.936733573697218,0.46420345571784755
T1,HALLMARK_UV_RESPONSE_UP,HALLMARK_SECONDARY,GSE54514,3,-0.14575433271943747,-1.0823713153249952,0.7908626498861202
T1,HALLMARK_UV_RESPONSE_UP,HALLMARK_SECONDARY,GSE57065,3,0.050775708881127965,-0.6867232787121926,0.7882746964744485
T1,HALLMARK_UV_RESPONSE_UP,HALLMARK_SECONDARY,GSE95233,3,-0.015573234986677054,-0.8906129738002863,0.8594665038269321
T1,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_SECONDARY,GSE236713,3,0.2814048659433484,-0.34704865775722366,0.9098583896439205
T1,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_SECONDARY,GSE54514,3,0.27068542057370487,-0.20888475955918417,0.7502556007065939
T1,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_SECONDARY,GSE57065,3,0.36664998701470386,0.22083242237277637,0.5124675516566314
T1,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_SECONDARY,GSE95233,3,0.2646030769099852,-0.2643553588340566,0.793561512654027
T1,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_SECONDARY,GSE236713,3,0.41311405376178967,0.08846955388099614,0.7377585536425832
T1,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_SECONDARY,GSE54514,3,0.2842342401540565,-0.0031496574182300896,0.5716181377263432
T1,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_SECONDARY,GSE57065,3,0.31717886574426435,-0.05630954248590209,0.6906672739744308
T1,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_SECONDARY,GSE95233,3,0.27764242867351296,0.08519706475909455,0.4700877925879314
T1,Neutrophil degranulation,REACTOME_SUPPLEMENT,GSE236713,3,-0.1289218482091333,-0.33067303721781427,0.0728293407995477
T1,Neutrophil degranulation,REACTOME_SUPPLEMENT,GSE54514,3,0.03456561654773289,-0.5181000615842546,0.5872312946797205
T1,Neutrophil degranulation,REACTOME_SUPPLEMENT,GSE57065,3,0.07295834202935882,-0.40919983043190844,0.555116514490626
T1,Neutrophil degranulation,REACTOME_SUPPLEMENT,GSE95233,3,-0.004480347510888136,-0.5814966128538128,0.5725359178320366
T1,TCR signaling,REACTOME_SUPPLEMENT,GSE236713,3,0.1626380009970841,-0.8489341390350316,1.1742101410291996
T1,TCR signaling,REACTOME_SUPPLEMENT,GSE54514,3,0.09704300035273071,-0.3032650805326689,0.4973510812381303
T1,TCR signaling,REACTOME_SUPPLEMENT,GSE57065,3,0.25317352909980534,-0.4834720448829965,0.9898191030826071
T1,TCR signaling,REACTOME_SUPPLEMENT,GSE95233,3,0.22526623352562655,-0.6061136264222305,1.0566460934734836
T2,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,GSE110487,4,0.05981957330797119,-1.0946970936667515,1.2143362402826938
T2,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,GSE54514,4,-0.2329258770119622,-0.8673752064515369,0.40152345242761245
T2,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,GSE57065,4,-0.04618455515514066,-1.2379057160937863,1.1455366057835048
T2,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,GSE8121,4,-0.012956749322868938,-1.2142456459899422,1.1883321473442046
T2,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,GSE95233,4,0.1694270819998964,-0.692630214498344,1.031484378498137
T2,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,GSE110487,4,0.3258012374673242,-0.09263014579984552,0.7442326207344939
T2,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,GSE54514,4,0.35660109972231496,-0.07308508490070675,0.7862872843453367
T2,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,GSE57065,4,0.4056628839286775,-0.03971417709623498,0.8510399449535899
T2,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,GSE8121,4,0.47512030656870435,0.2255827608495445,0.7246578522878642
T2,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,GSE95233,4,0.3195431834111745,-0.0600786985940121,0.699165065416361
T2,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,GSE110487,4,0.23442781517115055,-0.32489006270200504,0.7937456930443061
T2,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,GSE54514,4,0.0703088362645487,-0.49751201403872375,0.6381296865678212
