dataset,signature_id,time_window,paired_n,mean_delta_z,median_delta_z,q1_delta_z,q3_delta_z,bootstrap_se,ci95_lower,ci95_upper,mean_raw_change,proportion_increasing,paired_correlation,winsorized_mean_delta_z,max_leave_one_out_mean_shift,mixed_model_effect,mixed_model_se,model_status,analysis_role
GSE57065,SIG001,T1,28,-0.4384751306639419,-0.4788674278473806,-1.0413536649764106,0.13309053714234662,0.14936305676215544,-0.7305600740014847,-0.1447634379536641,-0.29490488827695416,0.32142857142857145,0.7325071476920989,-0.43591602476463676,0.05600079177930256,-0.43847513066394217,0.14678509494589959,CONVERGED,PILOT
GSE57065,SIG001,T2,26,-0.7282455402928125,-0.7714110805104837,-1.4356128588531591,-0.04151903097608543,0.1784156626731567,-1.083694038382325,-0.38327812473352185,-0.4897955543637018,0.23076923076923078,0.6839183668487259,-0.7211178377763464,0.06955411794101896,-0.728245540292813,0.1771841297082327,CONVERGED,PILOT
GSE57065,SIG002,T1,28,-0.15125094554667343,-0.038859202000373294,-0.950929761090951,0.409562436578875,0.17968647480174257,-0.5074799055321123,0.19508916477550942,-0.1813559821428572,0.5,0.4666911869610042,-0.1505963651372371,0.06854676412992129,-0.15125094554667332,0.18451109399563154,CONVERGED,PILOT
GSE57065,SIG002,T2,26,-0.78523960089802,-0.7055079682614194,-1.5961118805916836,-0.23948892311567085,0.21167853764770006,-1.212670560303215,-0.38870781974405605,-0.941533942307693,0.19230769230769232,0.3824964252196286,-0.7867601478596453,0.09659963536169192,-0.7852396008980193,0.20960997828622926,CONVERGED,PILOT
GSE57065,SIG003,T1,28,-0.22116784507959344,-0.4047009195601887,-0.8153850468611795,0.19131317855408228,0.2064128410032426,-0.5970924802146894,0.1980358625810884,-0.01792781706457468,0.2857142857142857,0.4463803744260994,-0.22238426468697517,0.09031467159048304,-0.22116784507959547,0.20174273275014185,CONVERGED,PILOT
GSE57065,SIG003,T2,26,-0.8274343714045839,-0.9562727237302084,-1.551938110860422,-0.043325368118676766,0.22569260358687404,-1.2677605881057032,-0.3980663009996579,-0.06707164885629852,0.23076923076923078,0.39240692349992856,-0.831946664351838,0.09887739801377526,-0.8274343714045868,0.2312825058556833,CONVERGED,PILOT
GSE57065,SIG004,T1,28,-0.03523478804246506,-0.022861003145849837,-0.7939738957861048,0.484207755452667,0.17301501111747494,-0.37454746017436696,0.30375490538977895,-0.002165969260773855,0.4642857142857143,0.6937725915569793,-0.0481359969416462,0.07285292835975683,-0.035234788042465166,0.176175269041848,CONVERGED,PILOT
GSE57065,SIG004,T2,26,0.47190946057129807,0.5807379120733651,-0.17705539694201625,1.0920524726789995,0.21351901391862396,0.025895853621506548,0.8633412507384841,0.029009437611315123,0.6923076923076923,0.5032658240884659,0.4724409936646329,0.10055427387951948,0.4719094605712983,0.21676166836839822,CONVERGED,PILOT
GSE57065,SIG022,T1,28,-0.09811759660445132,-0.282091080024776,-0.4277929014413188,0.14023442271283326,0.10403416756526279,-0.29261064841032075,0.11771857160486007,-0.07196750510667371,0.32142857142857145,0.8356915139742337,-0.1046242232416814,0.049686541495043895,-0.09811759660445134,0.105413815935961,CONVERGED,PILOT
GSE57065,SIG022,T2,26,0.06349277850390413,0.16419356965904297,-0.3037489290509033,0.4371678698949625,0.13338736151743835,-0.19575211104260243,0.3218137668645286,0.046570819295927615,0.5769230769230769,0.7156195522916688,0.062223366515223304,0.059097938822819926,0.06349277850390346,0.1372831190255532,CONVERGED,PILOT
GSE57065,SIG023,T1,28,0.31303191984355927,0.11158176916642593,-0.10975211123480885,0.6970940102917923,0.11173607152900344,0.11562980140430472,0.5306644432287254,0.8293475,0.6428571428571429,0.8115760234768932,0.31237896934704673,0.05531090211739753,0.31303191984355905,0.11154188052498117,CONVERGED,PILOT
GSE57065,SIG023,T2,26,0.17945353513832119,-0.029450038187603687,-0.35801093202838824,0.7222628942577636,0.13977569272308912,-0.07894713756587414,0.4605537177563991,0.4754446153846154,0.46153846153846156,0.6879706365020355,0.17999066643891093,0.06230318931829733,0.17945353513832096,0.14626853512485544,CONVERGED,PILOT
GSE57065,SIG033,T1,28,-0.07169924149676814,0.02724799577342516,-0.34633723097428104,0.4329255409624451,0.12500682380742706,-0.3124939738955441,0.16977800765505202,-0.07615507448214284,0.5,0.7392153247996163,-0.07165713849159365,0.05323335353004527,-0.07169924149676733,0.1273364823616361,CONVERGED,PILOT
GSE57065,SIG033,T2,26,-0.15778292287115273,-0.0393666946008043,-0.7099117392470747,0.4630471102814432,0.14956954014819088,-0.44176109025722854,0.14008111815945315,-0.16758852663461518,0.46153846153846156,0.5920726507109507,-0.15723161817840284,0.058823684966526124,-0.1577829228711525,0.15224689351438342,CONVERGED,PILOT
GSE57065,SIG034,T1,28,0.12951737397399818,-0.015378887227361925,-0.4565722632630643,0.6636527582409293,0.1420767990641073,-0.15335676088109468,0.40272841581403834,0.010838683287197963,0.5,0.7616842762874662,0.1210862322843771,0.05687486160785807,0.12951737397400007,0.14296758623866018,CONVERGED,PILOT
GSE57065,SIG034,T2,26,0.13489867160240515,0.2936762399060764,-0.6119803727545896,0.8263411301146197,0.2068785015716599,-0.28512591775805185,0.5347663228177642,0.011289018086914963,0.5384615384615384,0.5649115594127474,0.1295844449957428,0.08443070871873654,0.1348986716024056,0.2131922528806278,CONVERGED,PILOT
GSE8121,SIG001,T2,30,-0.2852149214548444,-0.22903448254112502,-0.5396470085250565,-0.09576596213629715,0.13312055429169653,-0.5448883623802567,-0.015180552825609392,-0.40885924518467137,0.23333333333333334,0.7356160807734363,-0.27422090923535264,0.06532481817241109,-0.2852149214548445,0.13220817402960872,CONVERGED,PRESPECIFIED_NON_PILOT
GSE8121,SIG002,T2,30,-0.5781308155291767,-0.3589897309036159,-1.3773301964344542,0.06986703100354297,0.16061044747228853,-0.8969999262746392,-0.27155394358726204,-0.7801018955000001,0.3,0.5915166544876632,-0.5736904069806738,0.06592047945744284,-0.5781308155291762,0.16289848341040433,CONVERGED,PRESPECIFIED_NON_PILOT
