signature_id,time_window,factor,level,cohort_n,patient_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent,analysis_status,interaction_p
SIG022,T2,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG022,T2,case_grade,S2,5,146.0,0.13902105677245458,-0.1907176237751375,0.46875973732004667,0.058762190129765884,82.2218807936682,FORMAL_SUBGROUP_META,
SIG023,T1,platform_class,MICROARRAY,4,172.0,0.046809026563166246,-0.5234492342888285,0.6170672874151609,0.10263272310330822,85.57300724556744,FORMAL_SUBGROUP_META,
SIG023,T1,platform_class,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG023,T1,platform,AFFYMETRIX,2,48.0,0.31985429091515105,0.21270663330785738,0.4270019485224447,0.0,0.0,FORMAL_SUBGROUP_META,
SIG023,T1,platform,AGILENT,1,93.0,-0.056010223761697724,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG023,T1,platform,ILLUMINA,1,31.0,-0.4620175596485778,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG023,T1,platform,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG023,T1,age_group,ADULT,4,172.0,0.046809026563166246,-0.5234492342888285,0.6170672874151609,0.10263272310330822,85.57300724556744,FORMAL_SUBGROUP_META,
SIG023,T1,age_group,PEDIATRIC,0,0.0,,,,,,NOT_AVAILABLE,
SIG023,T1,sample_group,WHOLE_BLOOD,3,79.0,0.07852135500046364,-1.0242958796474042,1.1813385896483317,0.1678269695472556,85.65328668707144,FORMAL_SUBGROUP_META,
SIG023,T1,sample_group,PBL,1,93.0,-0.056010223761697724,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG023,T1,clinical_group,SEPTIC_SHOCK,2,48.0,0.31985429091515105,0.21270663330785738,0.4270019485224447,0.0,0.0,FORMAL_SUBGROUP_META,
SIG023,T1,clinical_group,BROADER_SEPSIS,2,124.0,-0.21704286700528355,-2.74071783738898,2.3066321033784125,0.06312530526447696,76.58888047080328,FORMAL_SUBGROUP_META,
SIG023,T1,clinical_group,INTERACTION_SEPTIC_SHOCK_VS_BROADER_SEPSIS,4,,0.5368971579204346,0.14725609501641246,0.9265382208244567,,,FORMAL_INTERACTION,0.006918581377474593
SIG023,T1,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG023,T1,case_grade,S2,4,172.0,0.046809026563166246,-0.5234492342888285,0.6170672874151609,0.10263272310330822,85.57300724556744,FORMAL_SUBGROUP_META,
SIG023,T2,platform_class,MICROARRAY,4,115.0,0.018889559683309267,-0.1953897330409211,0.23316885240753965,0.0,0.0,FORMAL_SUBGROUP_META,
SIG023,T2,platform_class,RNASEQ,1,31.0,-0.26800068679926037,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG023,T2,platform,AFFYMETRIX,3,87.0,0.040589580455450906,-0.2825829148082249,0.3637620757191267,0.0,7.04842564438482,FORMAL_SUBGROUP_META,
SIG023,T2,platform,AGILENT,0,0.0,,,,,,NOT_AVAILABLE,
SIG023,T2,platform,ILLUMINA,1,28.0,-0.14780333166766055,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG023,T2,platform,RNASEQ,1,31.0,-0.26800068679926037,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG023,T2,age_group,ADULT,4,116.0,-0.08665158522330815,-0.40001077059216816,0.22670760014555189,0.02111451920798687,49.56940320190207,FORMAL_SUBGROUP_META,
SIG023,T2,age_group,PEDIATRIC,1,30.0,0.049294475730160804,,,,,DESCRIPTIVE_SINGLE_COHORT,
