signature_id,time_window,analysis_set,omitted_dataset,cohort_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent
SIG023,T2,PRIMARY_INDEPENDENT,GSE95233,4,-0.04003196081451734,-0.36275041937829444,0.2826864977492598,0.024384895871581908,56.78476104569007
SIG023,T2,STRICT_NEVER_USED,GSE110487,4,0.018889559683309267,-0.1953897330409211,0.23316885240753965,0.0,0.0
SIG023,T2,STRICT_NEVER_USED,GSE54514,4,-0.03900968862509426,-0.34440004851564476,0.2663806712654563,0.020553213554163997,56.48859107092318
SIG023,T2,STRICT_NEVER_USED,GSE57065,4,-0.10664844926726642,-0.337342190195439,0.12404529166090612,0.00841464053852066,22.743725421339477
SIG023,T2,STRICT_NEVER_USED,GSE8121,4,-0.08665158522330815,-0.40001077059216816,0.22670760014555189,0.02111451920798687,49.56940320190207
SIG023,T2,STRICT_NEVER_USED,GSE95233,4,-0.04003196081451734,-0.36275041937829444,0.2826864977492598,0.024384895871581908,56.78476104569007
SIG033,T1,ALL_COHORTS,GSE236713,3,-0.225515616169988,-0.7703256077145677,0.31929437537459177,0.017653210726823635,32.297130930897815
SIG033,T1,ALL_COHORTS,GSE54514,3,-0.13804586470410748,-0.2958228369500188,0.01973110754180385,0.0,0.0
SIG033,T1,ALL_COHORTS,GSE57065,3,-0.21942550155379784,-0.6163342668745004,0.1774832637669048,0.007328663023487253,16.57261996436417
SIG033,T1,ALL_COHORTS,GSE95233,3,-0.1521604701749728,-0.4748551079695556,0.17053416761961,0.0,28.454739760385444
SIG033,T1,PRIMARY_INDEPENDENT,GSE236713,3,-0.225515616169988,-0.7703256077145677,0.31929437537459177,0.017653210726823635,32.297130930897815
SIG033,T1,PRIMARY_INDEPENDENT,GSE54514,3,-0.13804586470410748,-0.2958228369500188,0.01973110754180385,0.0,0.0
SIG033,T1,PRIMARY_INDEPENDENT,GSE57065,3,-0.21942550155379784,-0.6163342668745004,0.1774832637669048,0.007328663023487253,16.57261996436417
SIG033,T1,PRIMARY_INDEPENDENT,GSE95233,3,-0.1521604701749728,-0.4748551079695556,0.17053416761961,0.0,28.454739760385444
SIG033,T1,STRICT_NEVER_USED,GSE236713,2,-0.2512702746878317,-3.0744737143699705,2.5719331649943076,0.06598785955824606,63.88975970932628
SIG033,T1,STRICT_NEVER_USED,GSE54514,2,-0.12476317276960806,-0.5414651148157569,0.2919387692765408,0.0,0.0
SIG033,T1,STRICT_NEVER_USED,GSE57065,2,-0.26609483077364443,-2.520820267538337,1.9886306059910481,0.0401762594364593,55.306146095659514
SIG033,T2,ALL_COHORTS,GSE110487,4,-0.19229677965486489,-0.38339647924460185,-0.0011970800651279478,0.0,0.0
SIG033,T2,ALL_COHORTS,GSE54514,4,-0.08038071600058218,-0.3615300216070521,0.20076858960588778,0.0006574894487290712,8.979422784683887
SIG033,T2,ALL_COHORTS,GSE57065,4,-0.11334088492481047,-0.4922709636460738,0.26558919379645285,0.02052450901519579,37.67575474511959
SIG033,T2,ALL_COHORTS,GSE8121,4,-0.13732312336588387,-0.5066435049194555,0.2319972581876878,0.019058495036819573,37.81255610202005
SIG033,T2,ALL_COHORTS,GSE95233,4,-0.09056034804575376,-0.42822233503306656,0.24710163894155907,0.009036954782113802,29.265825151409636
SIG033,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE110487,2,-0.15643639655462968,-1.3047139963524939,0.9918412032432345,0.0,0.0
SIG033,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE8121,2,-0.03553886696230473,-2.781908255851697,2.7108305219270874,0.060747232236546246,64.9892249411593
SIG033,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE95233,2,0.04621733277244541,-1.5458743979943637,1.6383090635392543,0.0017613056557692743,5.601056794589947
SIG033,T2,PRIMARY_INDEPENDENT,GSE110487,4,-0.19229677965486489,-0.38339647924460185,-0.0011970800651279478,0.0,0.0
SIG033,T2,PRIMARY_INDEPENDENT,GSE54514,4,-0.08038071600058218,-0.3615300216070521,0.20076858960588778,0.0006574894487290712,8.979422784683887
SIG033,T2,PRIMARY_INDEPENDENT,GSE57065,4,-0.11334088492481047,-0.4922709636460738,0.26558919379645285,0.02052450901519579,37.67575474511959
SIG033,T2,PRIMARY_INDEPENDENT,GSE8121,4,-0.13732312336588387,-0.5066435049194555,0.2319972581876878,0.019058495036819573,37.81255610202005
SIG033,T2,PRIMARY_INDEPENDENT,GSE95233,4,-0.09056034804575376,-0.42822233503306656,0.24710163894155907,0.009036954782113802,29.265825151409636
SIG033,T2,STRICT_NEVER_USED,GSE110487,3,-0.17384735883363084,-0.5131202367149748,0.16542551904771308,0.0,0.0
SIG033,T2,STRICT_NEVER_USED,GSE54514,3,-0.03415895976016317,-0.45848248707923134,0.39016456755890494,0.0018177031859543675,8.05716266908987
SIG033,T2,STRICT_NEVER_USED,GSE57065,3,-0.07011653742051961,-0.7410185377582942,0.600785462917255,0.03332945247206494,48.891845856971365
