signature_id,time_window,analysis_set,cohort_n,patient_n,pooled_delta_z,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,holm_adjusted_p
SIG033,T1,PILOT_ONLY,2,59,-0.2512702746878317,0.2221909294116171,-3.0744737143699705,2.5719331649943076,0.065987859558246,63.88975970932628,,,1.0,0.4609487310746125,GSE54514;GSE57065,
SIG033,T1,PRESPECIFIED_VALIDATION_ONLY,2,113,-0.1602320748046042,0.04030427178406,-0.6723464038456747,0.3518822542364662,0.0,0.0,,,1.0,0.1568787656102411,GSE236713;GSE95233,
SIG033,T1,PRIMARY_INDEPENDENT,4,172,-0.1622184933545452,0.061427897164042,-0.3577094777256323,0.0332724910165419,0.0,2.6827668560794025,-0.4265214027669044,0.102084416057814,1.0,0.0776030481265069,GSE236713;GSE54514;GSE57065;GSE95233,
SIG033,T1,STRICT_NEVER_USED,3,152,-0.1521604701749728,0.0749989966811409,-0.4748551079695556,0.17053416761961,0.0,28.454739760385444,-1.1051130770325404,0.8007921366825947,1.0,0.179635627359146,GSE236713;GSE54514;GSE57065,
SIG033,T2,ALL_COHORTS,5,146,-0.1197454988812969,0.0881593839857605,-0.3645151890258151,0.1250241912632212,0.0041908623666245,18.539019733832227,-0.4678262724082038,0.2283352746456099,0.8,0.2459321647606566,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG033,T2,PILOT_ONLY,2,54,-0.2277528861291415,0.1044468094913551,-1.5548754315934186,1.0993696593351354,0.0,0.0,,,1.0,0.273733910233539,GSE54514;GSE57065,
SIG033,T2,PRESPECIFIED_VALIDATION_ONLY,3,92,-0.0465044679805222,0.1235695734888977,-0.578181430659916,0.4851724946988715,0.013451888851465,31.1555750084713,-2.1998717484060837,2.106862812445039,0.6666666666666666,0.742835777709578,GSE110487;GSE8121;GSE95233,
SIG033,T2,PRIMARY_INDEPENDENT,5,146,-0.1197454988812969,0.0881593839857605,-0.3645151890258151,0.1250241912632212,0.0041908623666245,18.539019733832227,-0.4678262724082038,0.2283352746456099,0.8,0.2459321647606566,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG033,T2,STRICT_NEVER_USED,4,115,-0.0905603480457537,0.1061013932667599,-0.4282223350330665,0.247101638941559,0.0090369547821138,29.265825151409636,-0.7035103488070071,0.5223896527154996,0.75,0.456099172868887,GSE110487;GSE54514;GSE57065;GSE8121,
SIG033,T3,ALL_COHORTS,1,18,-0.4872485515812841,,,,,,,,1.0,,GSE54514,
SIG033,T3,PILOT_ONLY,1,18,-0.4872485515812841,,,,,,,,1.0,,GSE54514,
SIG033,T3,PRIMARY_INDEPENDENT,1,18,-0.4872485515812841,,,,,,,,1.0,,GSE54514,
SIG033,T3,STRICT_NEVER_USED,1,18,-0.4872485515812841,,,,,,,,1.0,,GSE54514,
SIG033,T4,ALL_COHORTS,2,82,0.0885049305026104,0.100790286938717,-1.1921570907844654,1.3691669517896865,0.0,0.0,,,0.5,0.5412590849742406,GSE236713;GSE54514,
SIG033,T4,PILOT_ONLY,1,14,-0.1361172120624838,,,,,,,,1.0,,GSE54514,
SIG033,T4,PRESPECIFIED_VALIDATION_ONLY,1,68,0.1337305784515653,,,,,,,,1.0,,GSE236713,
SIG033,T4,PRIMARY_INDEPENDENT,2,82,0.0885049305026104,0.100790286938717,-1.1921570907844654,1.3691669517896865,0.0,0.0,,,0.5,0.5412590849742406,GSE236713;GSE54514,
SIG033,T4,STRICT_NEVER_USED,2,82,0.0885049305026104,0.100790286938717,-1.1921570907844654,1.3691669517896865,0.0,0.0,,,0.5,0.5412590849742406,GSE236713;GSE54514,
SIG034,T1,ALL_COHORTS,4,172,0.0301771452166587,0.049560260505596,-0.1275457227183009,0.1879000131516183,0.0,0.0,-0.1830634449321959,0.2434177353655133,0.75,0.5856033693530599,GSE236713;GSE54514;GSE57065;GSE95233,
SIG034,T1,PILOT_ONLY,2,59,-0.007284443291014,0.170867530567209,-2.178362269486541,2.163793382904513,0.0277246337193046,45.20838942870647,,,0.5,0.9728759807369948,GSE54514;GSE57065,
SIG034,T1,PRESPECIFIED_VALIDATION_ONLY,2,113,0.0324684459954479,0.0120887236207156,-0.1211333513315074,0.1860702433224033,0.0,0.0,,,1.0,0.2269046278023421,GSE236713;GSE95233,
SIG034,T1,PRIMARY_INDEPENDENT,4,172,0.0301771452166587,0.049560260505596,-0.1275457227183009,0.1879000131516183,0.0,0.0,-0.1830634449321959,0.2434177353655133,0.75,0.5856033693530599,GSE236713;GSE54514;GSE57065;GSE95233,
SIG034,T1,STRICT_NEVER_USED,4,172,0.0301771452166587,0.049560260505596,-0.1275457227183009,0.1879000131516183,0.0,0.0,-0.1830634449321959,0.2434177353655133,0.75,0.5856033693530599,GSE236713;GSE54514;GSE57065;GSE95233,
SIG034,T2,ALL_COHORTS,5,146,-0.0701561181295709,0.0765325222064303,-0.2826444647980563,0.1423322285389144,0.0084343091936828,18.915976820016656,-0.4506087046200664,0.3102964683609245,0.4,0.4111758559479265,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG034,T2,PILOT_ONLY,2,54,0.0979326960154655,0.0434059840156244,-0.4535926236733578,0.6494580157042888,0.0,0.0,,,1.0,0.2656000371704496,GSE54514;GSE57065,
SIG034,T2,PRESPECIFIED_VALIDATION_ONLY,3,92,-0.1209495775176375,0.0973886168654054,-0.5399789757149059,0.2980798206796309,0.01246731857348,40.71158752929131,-2.0035212678245253,1.7616221127892502,0.6666666666666666,0.340145197942059,GSE110487;GSE8121;GSE95233,
SIG034,T2,PRIMARY_INDEPENDENT,5,146,-0.0701561181295709,0.0765325222064303,-0.2826444647980563,0.1423322285389144,0.0084343091936828,18.915976820016656,-0.4506087046200664,0.3102964683609245,0.4,0.4111758559479265,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
